unique Electoral Area,not unique electoral area,circle code
"Bola Garhi // Shah Pur-Maryam
Colony-Tahir Colony // Rakh Thaki", ,1850101
"Kanjrah // Farid Town / Kot Gujjra'n / Fazal Pura
Kanjrah", ,1850102
Mareed Wal // Ghopay Raye, ,1850103
"Block-A Margzar Colony // Block E-D Margzar
Colony // Block C-F Margzar
Colony // Block-P Margzar Colony // Block-N Margzar Colony // Block-M Margzar Colony // Shadiwal // Mehar Pura /
Mustafabad // Alhamad Park // Jameel Town / Roshan
Park // Ghosha Ahbab Phase-lll // Block-R Margzar Colony // Khoshal Park - Jalal Park // Khayaban Quaid // Fazal Park // National Park // Rana Town // Habib Park - Gulshan
Park // Gulzar Mansoora // Gulshan Abbas Phase-ll // Gulshan Abbas Phase-l
Khadija Park // Wayous Factory (Ass
Pass) // Hanjarwal // Block-D Hanjarwal // Hashim Nagar // Jamal Colony Phase-ll // Amna Park Hanjarwal // Ahmad Housing Society
Block-C // Itifaq Town-Saleem Ali
Block // Ahmad Housing Society // Abadi Niaz Baig // Ameen Town - Abdullah
Town // Block-H Margzar Colony // Block-B Margzar Colony // Block-C Margzar Colony // Scheme LDA Ali Town // Mohalla Bhattian Niaz
Baig // Mohalla Syeda'n Niaz
Baig",  / Abadi Niaz Baig / Fazal Park,1850104
"Gulshan Town Niaz Baig // Sarshar Town-Gulshan
Town // Niaz Baig // Civil Defence Colony // Wast Wood Colony // Abadi Niaz Baig // Ahmad Abad Myo Niaz
Baig // Gulzar Town // Waris Colony // Abadi Mansoor Colony // Pak Town // Azeem Garden - Haseeb
Block // Faisal Block - Islam
Block // Ghosha Ahbab Phase-ll // Ghani Colony // Education Town // Karamat Colony // Mustafa Town -
Mumtaz Bukhtawar // Qayum Block - Azam
Garden // Mamdowat Block // Allah Yar Block -
Hadayat  Allah Block // Ahmad Yar Block // Ahmad Block // Shehbaz Block // Abbas Block // Ghosha Ahbab Phase=ll",  / Abadi Niaz Baig / Ghani Colony,1850105
"Water And
Management Colony // Canal Berg Society // Canal View Block-A // Block-B Canal view // Canal View - Khayaban Chora Shareef // Colony PCSIR Phase-l
Block-A // Ghosha Ahbab Block-A
Tak Society // Block-B Tak Society // Alfah Society // Abdalin Rasul Pura // Rasool Pura // Ali Town // Jodicial Colony // Kibarya Town - Sultan
Town // Johar Town Block-J // Block J-l Johar Town // Block J-ll Johar Town // Block J-lll Johar Town // Block G-llll Johar Town // Block-H Johar Town // Block H-l Johar Town // Block H-ll Johar Town // Block H-lll Johar Town // Block G-ll Johar Town // Block G-lll Johar Town // Block G-l Johar Town // Canal View- Khayaban Chorah Shareef // Phase-ll PCSIR // Judicial Colony // Block G-IV Johar Town",  / Judicial Colony,1850106
"Joher Town Block M // Block-M Johar Town // F-Block Joher town // F-1Block Joher town // Block-N Johar Town // Expo Center Joher Town // Joher Town Block L // Joher Town Block P // Block-Q Johar Town // Block-R Johar Town // Block R-l Johar Town // Adalian Johar Town // Block R-2 Johar Town // Block R-3 Johar Town // Iqbal Avenue Johar
Town OPF // D-2Block Joher town // D-1Block Joher town // D-Block Joher town // Avenue Scheme Block-A // PIA Society // PIA Society / Khayaban
Zahra // Revenue Scheme // Block C-2 Joher town // Block C-1 Joher town // Block 1 Joher town",  / Joher Town Block M,1850107
"Eden Canal Villas
(Ameer Kot) // Pasco Housing Scheme Society ( Ameer Kot) // Edin Canal Villas
(Ameer Kot)", ,1850108
EME Society // Shah Pur - Khan Pur, ,1850109
Aino Bhatti // Arazi Janjua, ,1850201
Karol War // Karol War Sharqi // Karol War Gharbi // Herdo Jabu, ,1850202
"Aziz Colony Wandala
Road // Aziz Colony Islamai
Colony // Wandala Road // Aziz Colony Gali No.21-
25", ,1850301
"Aziz Colony // Islam nagar aziz Colony // Aziz Colony Gali No.16-
17 // Aziz Colony Wandala
Road Gali No.22", ,1850302
"Shahab Park Aziz Colony // Shahab park Wandala
Road // Lajpat Road Shahdara // Rasool Nagar Wandala
road // Dolat Khan Nagar // Rasool Nagar Dolat
Khan Road", ,1850303
"Islam Nagar Sui Gas
Road // Gulzar Colony Chowk
Islam Nagar // Itifaq Colony Lajpat
Nagar // Aziz Colony Islam Nagar // Aziz Colony Itifaq
Colony // Gali No.7,8,11,12 Sar
Shahab Park // Gali No.3-7 Lajpat Nagar","  / Itifaq Colony Lajpat
Nagar",1850304
"Hameed Park / Chatha
Park // Itifaq Colony Lajpat
Nagar // Gali No.7,9 Lajpat Nagar // Chatha Park // Masjid Khalil / Dera Choudary Kashif Chatha // Jinaah Park","  / Itifaq Colony Lajpat
Nagar",1850305
"Gali No.5 Kot Shahab
Din // Khadam Colony // Jinnah Park Kot Shahab
Din // G.T Road Kot Shahab
Din // Kamboh Gali No.2,3 Kot
Shahab Din", ,1850306
"Islam Pura Machis
Factory // Mugal Park G.T Road // Ghosia Street Faisal Park // Faisal park // Ali Park", ,1850401
"Gali No1-8,3 Islampura // Gali No.9-15 islamapura // Gali No.70-80 Islampura // Machis Factory // Gali No. 39-55
Islampura", ,1850402
Islamia Colony Shahdara // New Islamia Colony // Choudary Colony, ,1850403
"ilam Din Colony Kasar
Town // Allama Iqbal Colony // Layrics Colony // Gareeb Nagar railway","  / ilam Din Colony Kasar
Town / Layrics Colony",1850404
"Jameel Park Phatak
No.9 // Jameel Park Gali No.4-
12 // Jameel Park // Kot Muhammad
Hussain // Kot Muhammad
Hussain Gali No.1,2", ,1850501
"Javed Park Kala Khatai
Road // Javed Park Gali No.7,8 // Javed park Gali No.1,3 // Javed Park Gali no.5", ,1850502
"Main Bazar Haji Kot // Kala Khatai Road Haji
Kot // Choudary Street Haji
Kot // Zafar Street Haji Kot", ,1850503
"Barkat Town Gali No.11- 14 Randhawa Street // Ghosia Street Barkat
Town // Barkat Town Phatak
No.14,15 // Barkat Town Sundar
Street // Qabristan Road Barkat
Town", ,1850504
"ilam Din Colony Kasar
Town // L-Block Kasar Town // Tiba Qazi Da / Dera Manzoor Ahmad
Advocate // Dera Hami Mansab Near
Masjid Saghirah // Cha Awan Wala // Dera Haji Mansab Near
Masjid Saghirah","  / ilam Din Colony Kasar
Town",1850505
"Abbas Nagar Janoobi // Bhutto Colony Gali No.2 // Mohalla Tariq abad
Bhutto Colony // Kot Haji Ilam Din // Floor Mill Area // Abbas Nagar Shamali", ,1850506
Muslim Chowk // Jinnah Park // Rachna Town // Gulshan Hayat Park // Jia Moosa // Anayat Park, ,1850601
"Muslim Colony // Muslim Colony Masjid
Tobi // Hameed park / Mohalla
Qureshia'n // Mohalla Arfat // Arfat Colony / Pindi Das
Road // Mian Feroz Park",  / Muslim Colony,1850602
"Muslim Colony // Muslim Colony Jia
Moosa // Mohalla Qureshia // ilam Din Road // Bohar Wala Chowk // Arfat park // Purana Jia Moosa",  / Mohalla Qureshia / Muslim Colony,1850603
"Qasim Park // Muhammad Ali Park // Mehmood Road Yousaf
park // Yousaf Park Jalal park // Abduallah Block // Bashir colony Yousaf
park","  / Mehmood Road Yousaf
park",1850604
"Mehmood Road Yousaf
park // Pracha Colony Yousaf
Park // Awais Block Yousaf Park // Bashir Colony // Masjid Bilal Yousaf Park // Yousaf Park // Umer Block Yousaf Park","  / Mehmood Road Yousaf
park",1850605
"Satar Colony // Tar Garh // Ahsan park Shamas
Abad // Lala Zar Colony Shamas
Abad // Malik Park", ,1850701
"Ahmad Park // Eid Gha Road Mehboob
Park // Mehboob Park // Qayum Park // Chaman Colony // Javed For Man Road // Chaman Colony Sui Gas
Road",  / Ahmad Park,1850702
"Saeed Park Maqbra
Road // Saeed Park Asif Street // Saeed Park Jinnah Street // Saeed Park Khalid Street // Saeed Park Hussain
Street", ,1850703
"Gulshan Hayat Park
Near Ravi Tool Plaza // Gulshan Hayat Park
Farkh Abad // Kamran park", ,1850704
"Bismillah Chowk Nain
Sukh // Sofia Abad Nain Sukh // Aziz Chowk // Sagian Chowk // Main Bazar Sagian // Itfaq Chowk", ,1850801
"Al Jannat Road Sagian // Nai Abadi Sagian // Main Bazar Nain Sukh // Chara Chowk Nain Sukh // Mohalla Ghosia Nain
Sukh // Mohalla Ghosia", ,1850802
"Cha Cheembay wala
Begum Kot // Cha Cheembay wala // Jalal Park Begum Kot", ,1850803
"Farkh Abad Masoom
Shah Road // Farkh Abad Barah Dari
Road // Farkh Abad Begum Kot // Masoom Shah Road // Farkh Abad // Main Bazar Farkh Abad",  / Masoom Shah Road,1850804
"Begum Kot // Usman Park Mehar Pura // Fazal Park Barah Dari
Road // Mehar Pura // Fazal Park // Lala Zar Colony",  / Fazal Park / Lala Zar Colony,1850805
Shoukat Colony B-Block // Shoukat Colony // Mohalla Ghoraiya // Mohalla Peera'n // Mohalla Qureshia,  / Mohalla Peera'n / Mohalla Qureshia,1850806
"Ali Block // Abu Bakkar Block // Mohalla Jafari Maraj
Park // Tariq Colony // Ilam Din Block // Mohalla Peera'n",  / Mohalla Peera'n,1850807
"Ahata Sheikh Ghulam
Muhammad // Deray Deendara'n // Shama Colony", ,1850808
Ghoray Shah // Mohalla Kaky Zaian // Muhalla Jutta'n // Narowal Road,  / Mohalla Kaky Zaian,1850901
"Rajpoot Park // Ghalaran Road // Aslam park // Mohalla Babu Kagzan
Wala // Mohalla Kaky Zaian // Mohalla Kaky Zaian Mohalla Tarlok Shah // Guru Nanak Street",  / Mohalla Kaky Zaian / Rajpoot Park,1850902
"Gujjar Mohalla Band
Road // Changar Mohalla // Buchar Kahana // Baba Ludhay Shah", ,1850903
"Majeed Park Maraj Park // Majeed Park Bandooq
Saiya'n // Begum da Bagh // Mohalla Baba Bandooq
Saain // Latif Park // Miraj Park", ,1850904
"Mughalia Park Muqbara
Mor // Mughalia Park // Kachi Abadi Mustafabad", ,1850905
Jhangir Park // Bus Stop Jhangir Park // Naeem Park // Mohalla Pari Mehal,  / Jhangir Park,1850906
Jhangir Colony // Ravi Clifton Colony // Gulshan Tufail Colony // Saleem Garden, ,1850907
"Bukhari Park // Ahata Workshop Power
House // Floor Mills Area // Kachi Abadi Mills Area", ,1851001
"Qazi Park // Rasool Park Gali No.8,10 // Rajpoot Park // Muslim Park, Rajpoot
Park // Qazi Park Gali No.2,5",  / Rajpoot Park,1851002
"Rasool Park // Siraj Park Shoro Khothi // Siraj Park Gali No.5-12 // Siraj Park Gali No.2,3 // Muslim Park // Maqbara Jhangir",  / Muslim Park / Rasool Park,1851003
"Paracha Colony // Muslim Park // Paracha Colony Lal Din
Park",  / Muslim Park,1851004
